2019-11-28 00:10:15.329 +01:00 [INF] Starting up the service.
2019-11-28 00:11:35.060 +01:00 [INF] Worker running at: "2019-11-28T00:11:35.0608809+01:00" 1000
2019-11-28 00:11:36.061 +01:00 [INF] Worker running at: "2019-11-28T00:11:36.0618151+01:00" 1000
2019-11-28 00:11:37.062 +01:00 [INF] Worker running at: "2019-11-28T00:11:37.0625756+01:00" 1000
2019-11-28 00:11:38.063 +01:00 [INF] Worker running at: "2019-11-28T00:11:38.0634467+01:00" 1000
2019-11-28 00:11:39.064 +01:00 [INF] Worker running at: "2019-11-28T00:11:39.0641191+01:00" 1000
2019-11-28 00:11:40.064 +01:00 [INF] Worker running at: "2019-11-28T00:11:40.0647460+01:00" 1000
2019-11-28 00:11:41.065 +01:00 [INF] Worker running at: "2019-11-28T00:11:41.0659171+01:00" 1000
2019-11-28 00:11:42.066 +01:00 [INF] Worker running at: "2019-11-28T00:11:42.0662613+01:00" 1000
2019-11-28 00:11:43.067 +01:00 [INF] Worker running at: "2019-11-28T00:11:43.0673575+01:00" 1000
2019-11-28 00:11:44.068 +01:00 [INF] Worker running at: "2019-11-28T00:11:44.0684718+01:00" 1000
2019-11-28 00:11:45.068 +01:00 [INF] Worker running at: "2019-11-28T00:11:45.0689385+01:00" 1000
2019-11-28 00:11:46.069 +01:00 [INF] Worker running at: "2019-11-28T00:11:46.0692876+01:00" 1000
2019-11-28 00:11:47.070 +01:00 [INF] Worker running at: "2019-11-28T00:11:47.0702632+01:00" 1000
2019-11-28 00:11:48.071 +01:00 [INF] Worker running at: "2019-11-28T00:11:48.0709868+01:00" 1000
2019-11-28 00:11:49.072 +01:00 [INF] Worker running at: "2019-11-28T00:11:49.0721300+01:00" 1000
2019-11-28 00:11:50.072 +01:00 [INF] Worker running at: "2019-11-28T00:11:50.0726657+01:00" 1000
2019-11-28 00:11:51.073 +01:00 [INF] Worker running at: "2019-11-28T00:11:51.0736342+01:00" 1000
2019-11-28 00:11:52.074 +01:00 [INF] Worker running at: "2019-11-28T00:11:52.0746560+01:00" 1000
2019-11-28 00:11:53.075 +01:00 [INF] Worker running at: "2019-11-28T00:11:53.0751886+01:00" 1000
2019-11-28 00:11:54.076 +01:00 [INF] Worker running at: "2019-11-28T00:11:54.0763765+01:00" 1000
2019-11-28 00:11:55.077 +01:00 [INF] Worker running at: "2019-11-28T00:11:55.0769966+01:00" 1000
2019-11-28 00:11:56.078 +01:00 [INF] Worker running at: "2019-11-28T00:11:56.0780088+01:00" 1000
2019-11-28 00:11:57.079 +01:00 [INF] Worker running at: "2019-11-28T00:11:57.0793177+01:00" 1000
2019-11-28 00:11:58.079 +01:00 [INF] Worker running at: "2019-11-28T00:11:58.0797112+01:00" 1000
2019-11-28 00:11:59.080 +01:00 [INF] Worker running at: "2019-11-28T00:11:59.0806908+01:00" 1000
2019-11-28 00:12:00.081 +01:00 [INF] Worker running at: "2019-11-28T00:12:00.0812625+01:00" 1000
2019-11-28 00:12:01.082 +01:00 [INF] Worker running at: "2019-11-28T00:12:01.0823084+01:00" 1000
2019-11-28 00:12:02.082 +01:00 [INF] Worker running at: "2019-11-28T00:12:02.0828873+01:00" 1000
2019-11-28 00:12:03.083 +01:00 [INF] Worker running at: "2019-11-28T00:12:03.0839626+01:00" 1000
2019-11-28 00:12:04.085 +01:00 [INF] Worker running at: "2019-11-28T00:12:04.0852918+01:00" 1000
2019-11-28 00:12:05.086 +01:00 [INF] Worker running at: "2019-11-28T00:12:05.0863789+01:00" 1000
2019-11-28 00:12:06.087 +01:00 [INF] Worker running at: "2019-11-28T00:12:06.0870719+01:00" 1000
2019-11-28 00:12:07.088 +01:00 [INF] Worker running at: "2019-11-28T00:12:07.0880245+01:00" 1000
2019-11-28 00:12:08.088 +01:00 [INF] Worker running at: "2019-11-28T00:12:08.0885721+01:00" 1000
2019-11-28 00:12:09.089 +01:00 [INF] Worker running at: "2019-11-28T00:12:09.0891220+01:00" 1000
2019-11-28 00:12:10.089 +01:00 [INF] Worker running at: "2019-11-28T00:12:10.0896876+01:00" 1000
2019-11-28 00:12:11.090 +01:00 [INF] Worker running at: "2019-11-28T00:12:11.0908083+01:00" 1000
2019-11-28 00:12:12.091 +01:00 [INF] Worker running at: "2019-11-28T00:12:12.0917505+01:00" 1000
2019-11-28 00:12:13.092 +01:00 [INF] Worker running at: "2019-11-28T00:12:13.0920798+01:00" 1000
2019-11-28 00:12:14.093 +01:00 [INF] Worker running at: "2019-11-28T00:12:14.0930127+01:00" 1000
2019-11-28 00:12:15.093 +01:00 [INF] Worker running at: "2019-11-28T00:12:15.0934760+01:00" 1000
2019-11-28 00:12:16.094 +01:00 [INF] Worker running at: "2019-11-28T00:12:16.0943974+01:00" 1000
2019-11-28 00:12:17.095 +01:00 [INF] Worker running at: "2019-11-28T00:12:17.0950326+01:00" 1000
2019-11-28 00:12:18.096 +01:00 [INF] Worker running at: "2019-11-28T00:12:18.0960454+01:00" 1000
2019-11-28 00:12:19.096 +01:00 [INF] Worker running at: "2019-11-28T00:12:19.0967397+01:00" 1000
2019-11-28 00:12:20.098 +01:00 [INF] Worker running at: "2019-11-28T00:12:20.0979865+01:00" 1000
2019-11-28 00:12:21.098 +01:00 [INF] Worker running at: "2019-11-28T00:12:21.0986109+01:00" 1000
2019-11-28 00:12:22.099 +01:00 [INF] Worker running at: "2019-11-28T00:12:22.0996596+01:00" 1000
2019-11-28 00:12:23.100 +01:00 [INF] Worker running at: "2019-11-28T00:12:23.1002410+01:00" 1000
2019-11-28 00:12:24.101 +01:00 [INF] Worker running at: "2019-11-28T00:12:24.1010139+01:00" 1000
2019-11-28 00:12:25.102 +01:00 [INF] Worker running at: "2019-11-28T00:12:25.1021065+01:00" 1000
2019-11-28 00:12:26.103 +01:00 [INF] Worker running at: "2019-11-28T00:12:26.1032100+01:00" 1000
2019-11-28 00:12:27.104 +01:00 [INF] Worker running at: "2019-11-28T00:12:27.1043011+01:00" 1000
